,0
worst concave points,0.13564571330683148
worst perimeter,0.1232045308795064
worst area,0.11264067019199941
worst radius,0.10062919030822264
mean concave points,0.07532718469495674
mean concavity,0.06514875161094096
mean area,0.05153412310995946
mean perimeter,0.04880119539376727
mean radius,0.04426559690706192
worst concavity,0.0367764952047231
area error,0.02646500567792438
mean compactness,0.025128733465165937
worst texture,0.01838065641373294
worst compactness,0.01673195556831016
mean texture,0.015053453768581731
worst smoothness,0.014743631923155441
perimeter error,0.012349444411925915
radius error,0.01214651933146147
worst symmetry,0.009577301715642647
worst fractal dimension,0.006769584005512734
mean smoothness,0.00637322928827596
fractal dimension error,0.005959564390104409
concavity error,0.00547778796705806
texture error,0.005382875139617668
compactness error,0.005128196417336352
symmetry error,0.004893764261885509
mean symmetry,0.004572548880193988
concave points error,0.004372586463199794
smoothness error,0.003831184602964241
mean fractal dimension,0.0026885246999813423
